Date,Open,High,Low,Close,Adjusted_Close,Volume
01/08/1982,0.088728,0.089286,0.088728,0.088728,0.068572,56604800
01/11/1982,0.083705,0.083705,0.083147,0.083147,0.064259,33331200
01/12/1982,0.080915,0.080915,0.080357,0.080357,0.062103,59920000
1/13/1982,0.080357,0.080357,0.079799,0.079799,0.061672,41753600
1/14/1982,0.083705,0.084263,0.083705,0.083705,0.06469,25715200
1/15/1982,0.089286,0.090402,0.089286,0.089286,0.069004,46704000
1/18/1982,0.09096,0.092076,0.09096,0.09096,0.070297,28000000
1/19/1982,0.089844,0.089844,0.088728,0.088728,0.068572,55507200
1/20/1982,0.090402,0.09096,0.090402,0.090402,0.069866,25827200
1/21/1982,0.092076,0.092634,0.092076,0.092076,0.07116,33331200
1/22/1982,0.092634,0.093192,0.092634,0.092634,0.071591,24259200
1/25/1982,0.090402,0.090402,0.089844,0.089844,0.069435,44710400
1/26/1982,0.087612,0.087612,0.086496,0.086496,0.066847,21212800
1/27/1982,0.087054,0.08817,0.087054,0.087054,0.067279,31360000
1/28/1982,0.089844,0.090402,0.089844,0.089844,0.069435,39603200
1/29/1982,0.09096,0.091518,0.09096,0.09096,0.070297,53155200
02/01/1982,0.09096,0.09096,0.089844,0.089844,0.069435,38528000
02/02/1982,0.090402,0.091518,0.090402,0.090402,0.069866,54275200
02/03/1982,0.090402,0.09096,0.090402,0.090402,0.069866,31472000
02/04/1982,0.088728,0.088728,0.08817,0.08817,0.068141,22041600
02/05/1982,0.08817,0.088728,0.08817,0.08817,0.068141,40297600
02/08/1982,0.083147,0.083147,0.082589,0.082589,0.063828,31696000
02/09/1982,0.082589,0.083147,0.082589,0.082589,0.063828,57904000
02/10/1982,0.083705,0.084263,0.083705,0.083705,0.06469,38796800
02/11/1982,0.083147,0.083147,0.082589,0.082589,0.063828,24528000
02/12/1982,0.083705,0.084263,0.083705,0.083705,0.06469,19644800
2/16/1982,0.082589,0.082589,0.082031,0.082031,0.063397,34316800
2/17/1982,0.083147,0.083705,0.083147,0.083147,0.064259,25580800
2/18/1982,0.084263,0.084821,0.084263,0.084263,0.065122,28380800
2/19/1982,0.084263,0.084263,0.083705,0.083705,0.06469,13596800
2/22/1982,0.083147,0.083147,0.082589,0.082589,0.063828,26633600
2/23/1982,0.082031,0.082031,0.081473,0.081473,0.062965,34540800
2/24/1982,0.082031,0.082589,0.082031,0.082031,0.063397,37945600
2/25/1982,0.082031,0.082031,0.081473,0.081473,0.062965,30800000
2/26/1982,0.081473,0.082031,0.081473,0.081473,0.062965,17427200
03/01/1982,0.082031,0.082589,0.082031,0.082031,0.063397,35302400
03/02/1982,0.082031,0.082589,0.082031,0.082031,0.063397,34809600
03/03/1982,0.082031,0.082589,0.082031,0.082031,0.063397,23654400
03/04/1982,0.080915,0.080915,0.080357,0.080357,0.062103,38371200
03/05/1982,0.074777,0.074777,0.074219,0.074219,0.057359,45315200
03/08/1982,0.073661,0.073661,0.073103,0.073103,0.056497,35145600
03/09/1982,0.073661,0.074219,0.073661,0.073661,0.056928,52505600
03/10/1982,0.073103,0.073103,0.072545,0.072545,0.056065,86934400
03/11/1982,0.072545,0.073661,0.072545,0.072545,0.056065,22579200
03/12/1982,0.068638,0.068638,0.06808,0.06808,0.052615,46547200
3/15/1982,0.06808,0.06808,0.067522,0.067522,0.052183,51363200
3/16/1982,0.066964,0.066964,0.066406,0.066406,0.051321,47152000
3/17/1982,0.063616,0.063616,0.063058,0.063058,0.048734,50489600
3/18/1982,0.06808,0.068638,0.06808,0.06808,0.052615,56336000
3/19/1982,0.074219,0.074777,0.074219,0.074219,0.057359,65811200
3/22/1982,0.079799,0.080357,0.079799,0.079799,0.061672,69193600
3/23/1982,0.079241,0.079241,0.078683,0.078683,0.060809,55955200
3/24/1982,0.074777,0.074777,0.074219,0.074219,0.057359,51609600
3/25/1982,0.074219,0.074219,0.073661,0.073661,0.056928,84112000
3/26/1982,0.073103,0.073103,0.072545,0.072545,0.056065,50780800
3/29/1982,0.074219,0.074777,0.074219,0.074219,0.057359,67603200
3/30/1982,0.075335,0.075893,0.075335,0.075335,0.058222,77952000
3/31/1982,0.075335,0.075893,0.075335,0.075335,0.058222,50153600
04/01/1982,0.079241,0.079799,0.079241,0.079241,0.06124,59136000
04/02/1982,0.079241,0.079799,0.079241,0.079241,0.06124,84806400
04/05/1982,0.079241,0.079799,0.079241,0.079241,0.06124,86643200
04/06/1982,0.079241,0.079241,0.078683,0.078683,0.060809,71590400
04/07/1982,0.078125,0.078125,0.077567,0.077567,0.059947,29097600
04/08/1982,0.078125,0.078683,0.078125,0.078125,0.060378,23990400
04/12/1982,0.078125,0.078683,0.077567,0.077567,0.059947,44307200
4/13/1982,0.071987,0.071987,0.071429,0.071429,0.055203,85299200
4/14/1982,0.071987,0.072545,0.071987,0.071987,0.055634,113590400
4/15/1982,0.073103,0.073661,0.073103,0.073103,0.056497,164281600
4/16/1982,0.075335,0.075893,0.075335,0.075335,0.058222,104048000
4/19/1982,0.074777,0.074777,0.073661,0.073661,0.056928,41283200
4/20/1982,0.070871,0.070871,0.070313,0.070313,0.05434,80550400
4/21/1982,0.070313,0.070313,0.069754,0.069754,0.053908,73024000
4/22/1982,0.069196,0.069196,0.068638,0.068638,0.053046,52595200
4/23/1982,0.068638,0.069196,0.068638,0.068638,0.053046,48294400
4/26/1982,0.070313,0.070871,0.070313,0.070313,0.05434,57926400
4/27/1982,0.068638,0.068638,0.06808,0.06808,0.052615,70268800
4/28/1982,0.065848,0.065848,0.06529,0.06529,0.050459,99232000
4/29/1982,0.06529,0.065848,0.06529,0.06529,0.050459,82230400
4/30/1982,0.065848,0.066406,0.065848,0.065848,0.05089,277401600
05/03/1982,0.06808,0.068638,0.06808,0.06808,0.052615,82700800
05/04/1982,0.070313,0.070871,0.070313,0.070313,0.05434,73987200
05/05/1982,0.070313,0.070313,0.069196,0.069196,0.053477,53939200
05/06/1982,0.071429,0.071987,0.071429,0.071429,0.055203,75465600
05/07/1982,0.072545,0.073103,0.072545,0.072545,0.056065,84716800
05/10/1982,0.071987,0.071987,0.071429,0.071429,0.055203,31606400
05/11/1982,0.069754,0.069754,0.069196,0.069196,0.053477,103017600
05/12/1982,0.06808,0.06808,0.067522,0.067522,0.052183,71008000
5/13/1982,0.06808,0.068638,0.06808,0.06808,0.052615,54454400
5/14/1982,0.066406,0.066406,0.06529,0.06529,0.050459,95737600
5/17/1982,0.064732,0.064732,0.064174,0.064174,0.049596,76204800
5/18/1982,0.063616,0.063616,0.063058,0.063058,0.048734,122035200
5/19/1982,0.063058,0.063058,0.0625,0.0625,0.048302,75286400
5/20/1982,0.063058,0.063616,0.063058,0.063058,0.048734,27619200
5/21/1982,0.063616,0.064174,0.063616,0.063616,0.049165,38841600
5/24/1982,0.064174,0.064732,0.064174,0.064174,0.049596,31987200
5/25/1982,0.064174,0.064732,0.064174,0.064174,0.049596,51564800
5/26/1982,0.064174,0.064174,0.063616,0.063616,0.049165,43276800
5/27/1982,0.063058,0.063058,0.0625,0.0625,0.048302,31248000
5/28/1982,0.0625,0.063058,0.0625,0.0625,0.048302,19196800
06/01/1982,0.061942,0.061942,0.061384,0.061384,0.04744,47600000
06/02/1982,0.0625,0.063058,0.0625,0.0625,0.048302,32905600
06/03/1982,0.061384,0.061384,0.060268,0.060268,0.046577,39760000
06/04/1982,0.059152,0.059152,0.058594,0.058594,0.045284,37676800
06/07/1982,0.058594,0.059152,0.058594,0.058594,0.045284,37161600
06/08/1982,0.058594,0.058594,0.058036,0.058036,0.044852,31404800
06/09/1982,0.057478,0.057478,0.05692,0.05692,0.04399,33846400
06/10/1982,0.057478,0.058036,0.057478,0.057478,0.044421,34406400
06/11/1982,0.05971,0.060268,0.05971,0.05971,0.046146,54633600
6/14/1982,0.05971,0.060268,0.05971,0.05971,0.046146,29993600
6/15/1982,0.05971,0.060268,0.05971,0.05971,0.046146,35212800
6/16/1982,0.05971,0.060268,0.05971,0.05971,0.046146,41731200
6/17/1982,0.059152,0.059152,0.058594,0.058594,0.045284,29164800
6/18/1982,0.058594,0.058594,0.057478,0.057478,0.044421,19868800
6/21/1982,0.057478,0.058036,0.057478,0.057478,0.044421,28537600
6/22/1982,0.05971,0.060826,0.05971,0.05971,0.046146,17561600
